Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
21c09585032b6b29d1b48a39e1705b2227cf10a0faf9f89e4d6d06ea006a6c21,2014-04,Northumbria Police,Northumbria Police,-1.420426,55.001545,On or near Parking Area,E01008598,South Tyneside 001D,Suspect charged
697a09b35d54b23611c72c4ab2607fb42998f7a78249f10e8a6bc21eb0f5042a,2014-04,Northumbria Police,Northumbria Police,-1.621086,54.973876,On or near Parking Area,E01008397,Newcastle upon Tyne 024C,Unable to prosecute suspect
88ae9697fa2eaf2608dee53aa6505846c2c109a9ae90db54bf15f0280a862669,2014-04,Northumbria Police,Northumbria Police,-1.401046,54.983389,On or near ST CUTHBERT'S AVENUE,E01008651,South Tyneside 004D,Offender given a caution
5a058d4c01dfa847b8c781d21c738167abdca4e1e05bc7714b46f7e5fe6ba963,2014-04,Northumbria Police,Northumbria Police,-1.377551,54.903103,On or near LAURA STREET,E01008836,Sunderland 016F,Suspect charged
a96ec5f0daefa6862bb441e589a34b2443a24fc558365b124c71b1b8dc883871,2014-04,Northumbria Police,Northumbria Police,-1.377551,54.903103,On or near LAURA STREET,E01008836,Sunderland 016F,Suspect charged
a78b6ce49f8d3478bb7a757659bcf13fe24c7dda2914e8703e737e4d6dd16122,2014-04,Northumbria Police,Northumbria Police,-1.377551,54.903103,On or near LAURA STREET,E01008836,Sunderland 016F,Suspect charged
c416e31b8528f82a7d139f77dc413406353a98cb620aa3f8287fffe38e4f7e05,2014-04,Northumbria Police,Northumbria Police,-1.373549,54.921784,On or near ASHDALE COURT,E01008790,Sunderland 006E,Suspect charged
fa5da83a5a39ffe933f866da4dddba5f08b238314a2f599e7b7edf7830cab9da,2014-04,Northumbria Police,Northumbria Police,-1.614223,54.974393,On or near ELDON LANE,E01008397,Newcastle upon Tyne 024C,Offender given a caution
b9e04ad1d3eed95cc3daf387149166d7b54884ad2db1b7a4ba71d67a592c847c,2014-04,Northumbria Police,Northumbria Police,-1.611299,54.995753,On or near LYNDHURST GARDENS,E01008369,Newcastle upon Tyne 013B,Offender given a caution
19d7020d29caa7cc8ea0da7771d18f930e543a50549978c1679f3cac67fc588a,2014-04,Northumbria Police,Northumbria Police,-1.611299,54.995753,On or near LYNDHURST GARDENS,E01008369,Newcastle upon Tyne 013B,Offender given a caution
431f724a91e8398c933d3333972e75979d12aeae5aec3540d657874b258c42f2,2014-04,Northumbria Police,Northumbria Police,-1.461242,54.949199,On or near HUBERT STREET,E01008613,South Tyneside 021D,Offender given a caution
5da09909253004439e64cc958e55a6d4d444148045c68bdbd0aea4712470e7d4,2014-04,Northumbria Police,Northumbria Police,-1.661246,54.987518,On or near TWO BALL LONNEN,E01008451,Newcastle upon Tyne 016C,Suspect charged
c47e319f40b92f6bb83f9d6c0f1c97462d282617ad62161734dadeb142d1a832,2014-04,Northumbria Police,Northumbria Police,-1.571900,54.884946,On or near ELGIN PLACE,E01008172,Gateshead 026A,Formal action is not in the public interest
