Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1964d56a00ae04ca933abe6035a7bf94bb68361005696a9581e21536a92de36c,2014-06,Northumbria Police,Northumbria Police,-1.450947,54.946196,On or near WHEATLEY GARDENS,E01008614,South Tyneside 023A,Offender sent to prison
782026af443c2c8f48c6918de781a9c24affb6c37baf8cfdb9a5f50c92c79715,2014-06,Northumbria Police,Northumbria Police,-1.581552,55.081500,On or near ALLERHOPE,E01027411,Northumberland 029C,Offender given suspended prison sentence
9a1e68d3056f4edd37499df280d8de91116a19aff3a024808e7eb2a6ce582095,2014-06,Northumbria Police,Northumbria Police,-1.586479,55.085300,On or near Pedestrian Subway,E01027409,Northumberland 029B,Offender sent to prison
ae60075bef2c1e0a2f3954074adb4410e6af92e0ecec226d147ac5e0e038f450,2014-06,Northumbria Police,Northumbria Police,-1.519703,54.973482,On or near Parking Area,E01008641,South Tyneside 010C,Offender given conditional discharge
1604bb466fdd7e3dd156c09678a0d19742dc1a71ecc95d73fb32094987f0fbc8,2014-06,Northumbria Police,Northumbria Police,-1.466978,55.011221,On or near HEATON TERRACE,E01008486,North Tyneside 020A,Offender fined
8b0e332d2d471634ad936503e6f3253068aa55c7af79d3c16df40b0ff99d6a8e,2014-06,Northumbria Police,Northumbria Police,-1.386805,54.906817,On or near CROWTREE ROAD,E01008703,Sunderland 013B,Offender given conditional discharge
05a4836bb317b1ea03734e4c097f78e1d8027009fe833c3cdc85527c23276468,2014-06,Northumbria Police,Northumbria Police,-1.666960,54.990104,On or near BLAKEMOOR PLACE,E01008297,Newcastle upon Tyne 011B,Defendant sent to Crown Court
6c56398fa46ff5e9a579842233a60c4f40173c8404fff8fb6304410a5575c059,2014-06,Northumbria Police,Northumbria Police,-1.626904,54.971575,On or near Parking Area,E01033554,Newcastle upon Tyne 024I,Offender sent to prison
5db347182033af4ce3376dc458754b6b9d8de5f7eca666f47ed2e2b7b7c19a21,2014-06,Northumbria Police,Northumbria Police,-1.640858,55.009548,On or near KENTON ROAD,E01008341,Newcastle upon Tyne 003F,Defendant found not guilty
b2e049e66c31ad91309d2e2970b35e9e909c6ceac8eea268ef220a7675e4abb8,2014-06,Northumbria Police,Northumbria Police,-1.385079,54.904436,On or near MARITIME STREET,E01008703,Sunderland 013B,Offender given community sentence
